Name,Marketcap,QFY,Date,RevenueY,RevenueQ,NetProfitY,NetProfitQ,EPS
Reliance Industries Ltd,1693373.02,Q42025,25-Apr-25,10.50%,8.90%,6.40%,3.10%,
Tata Consultancy Services Ltd,1483144.53,Q42025,10-Apr-25,5.30%,0.80%,-1.70%,-1.20%,
HDFC Bank Ltd,1337919.84,Q42025,19-Apr-25,9.20%,2.00%,7.10%,5.20%,
Bharti Airtel Ltd,910934.58,Q42025,13-May-25,27.30%,6.10%,503.30%,-22.70%,
ICICI Bank Ltd,893378.5,Q42025,19-Apr-25,13.60%,2.90%,17.70%,3.70%,
Infosys Ltd,804834.34,Q42025,17-Apr-25,7.90%,-2.00%,-11.70%,3.20%,
State Bank of India,708168.6,Q42025,03-May-25,8.10%,1.90%,-8.20%,4.60%,
ITC Ltd,603064.44,Q42025,22-May-25,10.10%,-0.10%,281.60%,295.10%,
Life Insurance Corporation of India,574689.29,Q42025,27-May-25,1.90%,19.30%,37.50%,72.90%,
Hindustan Unilever Ltd,565194.18,Q42025,24-Apr-25,3.00%,-0.90%,-3.40%,-17.20%,
HCL Technologies Ltd,528418.44,Q42025,22-Apr-25,6.10%,1.20%,7.90%,-6.20%,
Larsen & Toubro Ltd,503428.45,Q42025,08-May-25,10.90%,15.00%,22.80%,54.90%,
Bajaj Finance Ltd,458769.23,Q42025,29-Apr-25,23.70%,2.30%,18.80%,5.50%,
Sun Pharmaceuticals Industries Ltd,443661.03,Q42025,22-May-25,8.10%,-5.20%,-19.00%,-26.10%,
Mahindra & Mahindra Ltd,396343.73,Q42025,09-May-25,20.20%,2.70%,13.30%,-2.30%,
Maruti Suzuki India Ltd,375505.14,Q42025,25-Apr-25,6.40%,5.60%,-1.00%,4.90%,
Kotak Mahindra Bank Ltd,365654.96,Q42025,03-May-25,10.70%,0.80%,-7.60%,4.90%,
UltraTech Cement Ltd,340404.8,Q42025,28-Apr-25,12.90%,29.70%,9.60%,81.60%,
Axis Bank Ltd,335570.52,Q42025,24-Apr-25,7.30%,0.90%,-1.60%,10.80%,
NTPC Ltd,329541.2,Q42025,24-May-25,4.60%,10.60%,21.70%,52.70%,
Reliance Industries Ltd,1693373.02,Q12026,18-Jul-25,5.1%,-6.8%,76.5%,36.1%,
Tata Consultancy Services Ltd,1483144.53,Q12026,10-Jul-25,1.3%,-1.6%,5.9%,4.3%,
HDFC Bank Ltd,1337919.84,Q12026,19-Jul-25,7.1%,0.7%,-0.6%,-11.4%,
Bharti Airtel Ltd,910934.58,Q12026,08-Aug-25,,,,,
ICICI Bank Ltd,893378.5,Q12026,19-Jul-25,10.1%,1.4%,16.0%,0.7%,
Infosys Ltd,804834.34,Q12026,23-Jul-25,7.5%,3.3%,8.6%,-1.6%,
State Bank of India,708168.6,Q12026,,,,,,
ITC Ltd,603064.44,Q12026,01-Aug-25,,,,,
Life Insurance Corporation of India,574689.29,Q12026,,,,,,
Hindustan Unilever Ltd,565194.18,Q12026,31-Jul-25,,,,,
HCL Technologies Ltd,528418.44,Q12026,14-Jul-25,8.2%,0.3%,-9.7%,-10.8%,
Larsen & Toubro Ltd,503428.45,Q12026,29-Jul-25,,,,,
Bajaj Finance Ltd,458769.23,Q12026,24-Jul-25,21.3%,5.8%,21.8%,4.8%,
Sun Pharmaceuticals Industries Ltd,443661.03,Q12026,,,,,,
Mahindra & Mahindra Ltd,396343.73,Q12026,,,,,,
Maruti Suzuki India Ltd,375505.14,Q12026,31-Jul-25,,,,,
Kotak Mahindra Bank Ltd,365654.96,Q12026,26-Jul-25,8.9%,2.8%,-40.0%,-9.3%,
UltraTech Cement Ltd,340404.8,Q12026,,,,,,
Axis Bank Ltd,335570.52,Q12026,17-Jul-25,3.8%,-0.3%,-2.9%,-16.4%,
NTPC Ltd,329541.2,Q12026,,,,,,
